Id,child_2020_sum,child_2025_sum,child_2030_sum,child_2035_sum,labor_2020_sum,labor_2025_sum,labor_2030_sum,labor_2035_sum,old_2020_sum,old_2025_sum,old_2030_sum,old_2035_sum
22,94.35547941160834,94.35547941160834,94.35547941160834,94.35547941160834,666.8000050155068,669.5204696944057,667.7075648054894,636.4746010166758,26.040252842025424,41.310939912194,69.54018234843421,115.91535609616037
23,392.1404748189258,392.1404748189258,392.1404748189258,392.1404748189258,1890.0719597004604,1900.7674102457581,1867.640595461416,1698.0734211738672,213.3419449121164,305.1119166675009,454.2828153329626,638.4835544764187
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,449.51982881969604,449.51982881969604,449.51982881969604,449.51982881969604,2170.2120108968215,2182.4927205631657,2144.4559806293964,1949.756249716658,255.54352354979096,365.4666587803437,544.1453879794385,764.7832226451326
26,77.53522812404543,77.53522812404543,77.53522812404543,77.53522812404543,461.1437515265039,468.5388816168408,470.61202574320555,442.39122830473144,19.4711763216481,29.15872200166504,47.001643531721356,74.62803190107209
27,420.22257673865414,420.22257673865414,420.22257673865414,420.22257673865414,1896.5069147464758,1904.2439874223614,1899.0880202986955,1810.2554912081976,144.61187392432788,229.41604095072643,386.1842166736702,643.7239767685245
28,254.1180778242566,254.1180778242566,254.1180778242566,254.1180778242566,1438.8636419430381,1461.9382172912726,1468.4067380125562,1380.3518457094367,62.51151808393308,93.61303799167068,150.89709424018088,239.59062359549347
29,179.76837352504052,179.76837352504052,179.76837352504052,179.76837352504052,1050.3565618024043,1067.2007869912677,1071.922781162206,1007.6435980597339,49.53609235987274,74.18190843038428,119.57558517610964,189.85911701413974
30,43.136232818770694,43.136232818770694,43.136232818770694,43.136232818770694,304.8390892214252,306.08281851082404,305.2540347663996,290.97535502651874,11.904751403367303,18.8860075675177,31.79149254646744,52.99270121466308
31,118.0441605262582,118.0441605262582,118.0441605262582,118.0441605262582,810.3627257227347,813.6688629693867,811.4656491010901,773.5081958697393,31.033078709242677,49.23169084488043,82.87346600517645,138.14037525505302
32,,,,,,,,,,,,
33,389.8419757561793,389.8419757561793,389.8419757561793,389.8419757561793,2191.7346986985403,2200.676540538473,2194.7177997759836,2092.057047738219,95.86650768148266,152.0851293864157,256.0103889009682,426.73936143331593
34,672.2184660396425,672.2184660396425,672.2184660396425,672.2184660396425,4103.936181930063,4120.679468620953,4109.521910322375,3917.2930470569454,179.85921512647957,285.3333841837394,480.3119037297917,800.6237312089384
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
