id,avg_dist_transportation,avg_dist_sports,avg_dist_healthcare,avg_dist_government,avg_dist_life,avg_dist_culture,avg_dist_shopping,avg_dist_tourist,avg_dist_restaurant
148,1056.0396,2485.8438,817.5229999999999,1195.9221,1076.3999,7355.8028,397.6811,1160.2644,868.3853999999999
149,3444.6177000000002,3524.7474,3516.9035000000003,3829.4107000000004,3375.3667,16379.8903,3075.2491,3491.8283,3004.9272
150,1971.5752,2419.7949,9967.348300000001,1896.8696,7205.234600000001,14527.7827,1091.3481,2625.5244,1055.1518
151,875.0305000000001,2028.7075,816.6305,1850.5384000000001,1214.8974,1961.1839,1505.9028,1736.961,944.2317999999999
152,3900.0784,4728.1891000000005,4561.621499999999,4188.322,4085.2868000000003,6272.662200000001,4449.9299,5170.7363,3844.4892
153,750.8783000000001,646.9382,555.0644,732.0635,664.5672999999999,987.8691999999999,565.0555999999999,1129.6372999999999,269.0453
154,606.0998999999999,1176.1200000000001,789.9964,863.1915000000001,933.0556,2481.6536,361.5479,1547.6464,344.7737
155,989.8709000000001,2496.203,1717.833,2273.0887,1660.1828,2461.6382000000003,1781.7400999999998,2776.4338,2544.4247
156,505.1863,2247.8869,333.469,812.9327999999999,287.8797,3441.2517,179.85160000000002,1619.1251,92.9331
157,7012.633599999999,7621.9295,8111.1389,6764.1901,7768.7902,9010.7752,7536.4712,6109.0561,4210.7392
158,2179.4898000000003,5217.8155,3571.429,1609.0050999999999,3621.452,6279.2541,2139.4607,3152.4584999999997,2834.3810999999996
159,1484.9382,2032.7481,1816.9667000000002,2251.1656,1563.3466,3092.6639,964.8994,2250.0179,515.7115
160,701.6886000000001,428.4662,492.6702,931.368,728.9161,1665.3582000000001,547.7918999999999,1232.1852,600.8646
161,3554.4278,3728.6252999999997,3530.3334999999997,3168.5412,3297.9525000000003,4575.9648,3665.2464999999997,4574.5435,3513.3039
162,1047.4392,3268.4329,1548.283,1293.3566999999998,1464.6541000000002,8238.1489,1499.1164,3644.389,1303.6933999999999
163,395.191,824.577,436.80879999999996,474.21399999999994,567.4724,2341.7279000000003,400.97,1395.103,474.03999999999996
164,769.4376,1130.3649,287.61440000000005,1007.4694,752.0758,1963.7936000000002,385.0306,1238.1079000000002,314.35839999999996
165,1636.8663000000001,2638.9739999999997,1957.7643,2185.754,1684.2951,3551.5298000000003,959.9905000000001,1940.0778999999998,750.2940000000001
166,2032.7316999999998,4780.7528,4250.3033000000005,1951.9059999999997,1153.349,4928.2285,3440.6382999999996,4750.4906,1106.5991
167,1249.7947,3248.1089999999995,1148.7591,958.8059999999999,1154.8182000000002,8382.3763,1316.0991,3332.6874,1253.8867
168,6361.188,6695.6967,5461.2683,6340.882,7755.371400000001,7326.0145,7804.3909,8628.385400000001,7786.447900000001
169,7468.0164,4803.5485,20323.644999999997,9821.0107,6180.588000000001,21804.402299999998,4884.4703,8570.1881,3888.2843000000003
170,6552.244000000001,5885.7495,17833.352600000002,8831.5657,5811.6049,17864.8262,5869.4934,7274.2567,5176.5913
171,7401.919100000001,6010.6308,5932.8168,8246.333499999999,6378.765600000001,6686.948200000001,6800.457,5341.7841,6392.066199999999
172,1998.3804,2453.2842,2067.4306,1912.1894,2163.0420999999997,2853.5009,2084.8187,2329.0953,1773.3452000000002
173,1616.6727999999998,1199.3713,4538.7497,2235.844,2149.887,7911.1497,837.8138999999999,2277.4515,787.2606
174,834.8345999999999,329.7794,180.5479,596.3385000000001,321.9511,1249.7183,35.5968,1082.6611,22.9015
175,503.43949999999995,554.2769999999999,361.5278,727.6373000000001,426.3045,965.9974,431.2487,991.9932000000001,123.2234
176,1514.6276,2662.6216,1761.9758000000002,2595.3399,1316.0497,2837.6177,2014.8239,2271.4831,1304.4724
177,3216.4918000000002,4044.0241,4623.7348,4483.8910000000005,3553.3038,5123.6116,4839.288500000001,4256.5326000000005,5127.2459
178,3351.6745,3569.5842000000002,3498.0135,4180.097299999999,3867.4896999999996,6098.8046,3270.0641,4368.2964999999995,3037.7542000000003
179,1991.3731,3351.9129999999996,2153.7114,1976.7254,3219.1989000000003,4228.3961,2394.462,3100.7125,3383.9216
180,1541.7433999999998,1860.7495999999999,1704.1183,2000.1599999999999,1800.7145,3503.5508999999997,1665.0734,2002.8830000000003,1526.6945
181,938.5072,589.2263,177.4341,387.0402,205.656,1515.2256,54.41850000000001,1234.3758,27.826800000000002
182,2006.0687999999998,2173.3213,4191.1713,2188.9523,1944.0375,7351.4553,1229.3298,2393.6546,1527.1025000000002
183,4572.043,7293.5548,5294.2199,4839.812,5288.5142,8253.3735,4381.5868,5953.3708,4169.2906
184,1592.5108,1960.6895,1332.1369,1338.1432,1216.6653000000001,8935.2486,970.2635,2619.9948,921.3758
185,946.8788000000001,1198.3326000000002,827.6791,634.5456,737.79,2730.8531000000003,466.60830000000004,1069.8294,305.9859
186,2274.4755,2919.7152,11531.6407,2176.3976,7705.155000000001,16388.019500000002,1703.5996,2840.2848,1604.4833999999998
187,1346.389,1509.6729,2043.3516,3248.4392,1659.2481,7405.1504,1260.8735000000001,5307.153899999999,1503.3808
188,540.2371,186.7193,120.90650000000001,364.5552,175.8426,820.6505000000001,79.8203,889.6826000000001,51.8694
189,1797.1009000000001,4206.874,4397.5885,2019.2965,2351.6055,3436.6305999999995,954.5439,1711.4702000000002,613.7936
190,3605.6362,1172.6048999999998,1313.9586,3907.5089,2393.9273000000003,3937.4313,458.7161,4257.9859,473.7468
191,11439.2025,10934.7156,10956.753,11193.1773,10884.3467,12021.899300000001,10808.703599999999,11666.1965,10805.679800000002
192,3241.7299,3273.3568,7603.9405,6464.3609,3895.1633,10558.2617,3096.5107,6929.9804,2753.3025000000002
193,1247.0458,2445.2105,1935.4093,1767.9389999999999,3193.7626,5168.5353000000005,1666.815,3006.9033000000004,713.3483
194,1419.9995999999999,1342.2687,1098.0495999999998,1485.8023,1605.6272999999999,2923.1989999999996,477.2719,2398.0646,457.66459999999995
195,2002.2717,1941.6876,2598.924,2156.0252,2327.2483,4049.0599,2453.4267,2864.6884,2255.3769
196,1324.5182,1037.3793,598.6998,535.3273999999999,1070.1288,1684.5508999999997,561.7556999999999,1217.8024,569.7021
